name,melakarta,parent,cakram,alternate_names,arohanam,avarohanam,anya_svarams
abhEri (Dikshitar School),,20,,,"S,M1,G2,M1,P,P,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
abhEri,,22,,"karNATaka dEvagAndhAri","S,G2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
abhirAmam,,49,,,"S,R1,M2,P,D1,N1,Ṡ","Ṡ,N1,D1,P,M2,G2,R1,S",
abhiru,,47,,,"S,R1,G2,R1,M2,P,N3,Ṡ","Ṡ,D2,P,M2,G2,R1,G2,S",
abhOgi,,22,,,"S,R2,G2,M1,D2,Ṡ","Ṡ,D2,M1,G2,R2,S",
Adi kApi,,22,,,"S,R2,M1,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
Adi pancama,,51,,,"S,R1,P,D1,N3,Ṡ","Ṡ,N3,D1,N3,P,M2,G3,R1,S",
agnikopa,,22,,,"S,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,R2,S",
Ahiri,,8,,,"S,R1,S,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R1,S","R2,G2,G3,D2,N3"
alankArapriya,,10,,,"S,R1,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,R1,S",
alankAri,,53,,,"S,G3,M2,D2,N3,D2,Ṡ","Ṡ,N3,D2,M2,G3,S",
amarasEnapriya,,60,,,"S,R2,M2,P,N2,Ṡ","Ṡ,N3,P,M2,G2,R2,S",
amarasindhu,,34,,,"S,R3,G3,P,D2,N2,Ṡ","Ṡ,N2,D2,P,G3,R3,S",
Ambhojini,,28,,,"S,R2,G3,M1,D2,Ṡ","Ṡ,D2,M1,G3,R2,S",
amrta BehAg,,65,,,"S,M2,G3,P,N3,S","D2,N3,D2,M2,G3,S",
amrtadhanyAsi,,8,,,"S,R1,G2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,G2,R1,S",
amrtavAhiNi,,20,,,"S,R2,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,M1,G2,R2,S",
amrtavarshiNi,,66,,,"S,G3,M2,P,N3,Ṡ","Ṡ,N3,P,M2,G3,S",
amudagAndhAri,,32,,,"S,G3,M1,P,D1,N2,Ṡ","Ṡ,N2,D1,P,M1,G3,R3,S",
amudasurabhi,,14,,,"S,M1,G3,M1,P,D1,Ṡ","Ṡ,N2,D1,P,M1,R1,S",
Anandabhairavi,,20,,,"S,G2,R2,G2,M1,P,D2,P,Ṡ","Ṡ,N2,D2,P,M1,G2,R2,S",
AnandarUpa,,29,,,"S,R2,G3,P,D2,N3,Ṡ","Ṡ,N3,D2,P,G3,R2,S",
Anandavalli,,57,,,"S,G2,M2,P,N3,Ṡ","Ṡ,N3,P,M2,G2,S",
AndaLi,,28,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,P,M1,R2,G3,M1,R2,S",
andOLika,,22,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,M1,R2,S",
aparUpam,,28,,,"S,R2,G3,M1,P,N2,D2,N2,Ṡ","Ṡ,D2,M1,G3,R2,G3,S",
aprameya,,65,,,"S,R2,M2,P,D2,Ṡ","Ṡ,N3,D2,M2,G3,M2,R2,S",
Arabhi,,29,,,"S,R2,M1,P,D2,Ṡ","S,D2,P,M1,G3,R2,S",
Arabhi,,29,,,"S,R2,M1,P,D2,S","Ṡ,N3,D2,P,M1,G3,R2,S",
ardhradEsi,,15,,,"S,R1,G3,M1,P,D1,N3,Ṡ","Ṡ,D1,P,M1,G3,R1,S",
aruNAngi,,45,,,"S,R1,M2,P,N3,D1,Ṡ","Ṡ,N3,D1,M2,R1,G2,R1,S",
Aryamati,,22,,,"S,R2,G2,P,D2,Ṡ","Ṡ,N2,D2,P,D2,M1,G2,R2,S",
asAveri,,8,,,"S,R1,M1,P,D1,Ṡ","Ṡ,N2,S,P,D1,M1,P,R1,G2,R1,S",R2
aThAna,,29,,,"S,R2,M1,P,N2,Ṡ","Ṡ,N2,D2,P,M1,G2,M1,R2,S","G2,N2"
aymmukhan,,21,,,"S,G2,M1,P,D1,N3,Ṡ","Ṡ,N3,D1,P,M1,G2,S",
ayodhya,,71,,,"S,G3,M2,P,N3,Ṡ","Ṡ,D2,P,M2,G3,M2,R3,S",
bAgeshrI,,22,,,"S,G2,M1,D2,N2,Ṡ","Ṡ,N2,D2,M1,P,D2,G2,M1,R2,S",
bahudAri,,28,,,"S,G3,M1,P,D2,N2,Ṡ","Ṡ,N2,P,M1,G3,S",
bAlacandrika,,22,,,"S,G2,M1,P,D2,N2,Ṡ","Ṡ,N2,D2,M1,G2,R2,S",
balahamsa,,28,,,"S,R2,M1,P,D2,Ṡ","Ṡ,N2,D2,P,M1,R2,M1,G3,S",
bandhuvarALi,,45,,,"S,M2,S,N3,D1,P,M2","D1,M2,G2,R1,S",
bangAla,,29,,,"S,R2,G3,M1,P,M1,R2,P,Ṡ","Ṡ,N3,P,M1,R2,G3,M1,R2,S",
